City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,olga,43.7444,135.2892,275.66,62,1,0.99,RU,1680300236
302,piranshahr,36.701,45.1413,267.89,93,69,3.52,IR,1680300236
303,shu,43.5983,73.7614,275.57,24,0,9.75,KZ,1680300237
304,kirakira,-10.4544,161.9205,301.32,75,52,3.75,SB,1680300237
305,burdur,37.7203,30.2908,277.54,75,75,0.0,TR,1680300237
306,skegness,53.1436,0.3363,282.23,96,100,6.59,GB,1680300237
307,capanema,-1.1958,-47.1808,296.33,97,100,1.25,BR,1680300169
308,santa maria,-29.6842,-53.8069,298.76,83,75,2.57,BR,1680300055
309,kieta,-6.2167,155.6333,300.13,77,100,0.92,PG,1680300047
310,tubay,9.1669,125.5239,296.81,91,79,1.48,PH,1680300237
311,leningradskiy,69.3833,178.4167,256.25,87,49,4.75,RU,1680300237
312,menongue,-14.6585,17.691,290.29,93,75,2.01,AO,1680300238
313,arraial do cabo,-22.9661,-42.0278,299.13,89,20,3.09,BR,1680300238
314,tunceli,39.1083,39.5471,273.82,65,1,1.66,TR,1680300132
315,kaduna,10.5222,7.4383,297.58,12,100,2.96,NG,1680300238
316,kichera,55.9375,110.0997,259.65,86,100,3.44,RU,1680300238
317,lufilufi,-13.8745,-171.5986,305.03,73,33,0.93,WS,1680300239
318,labuhan,-6.8844,112.2051,298.55,81,100,2.58,ID,1680300239
319,matlock,53.1384,-1.5556,282.87,95,100,4.36,GB,1680300239
320,gananoque,44.3334,-76.1661,277.19,95,100,2.27,CA,1680300239
321,chiredzi,-21.05,31.6667,293.13,74,61,1.9,ZW,1680300239
322,ixtapa,20.7,-105.2,298.72,61,40,5.66,MX,1680300239
323,calamar,10.2511,-74.9146,306.78,40,73,9.02,CO,1680300240
324,haputale,6.7681,80.9595,288.81,92,20,0.3,LK,1680300240
325,constitucion,-35.3333,-72.4167,291.1,53,61,6.38,CL,1680299968
326,raudeberg,61.9875,5.1352,275.52,73,0,2.23,NO,1680300240
327,rio gallegos,-51.6226,-69.2181,283.18,43,0,5.14,AR,1680300240
328,viedma,-40.8135,-62.9967,287.4,41,31,3.69,AR,1680300241
329,tilichiki,60.4667,166.1,269.25,91,100,1.68,RU,1680300241
330,takoradi,4.8845,-1.7554,298.11,89,28,1.92,GH,1680300241
331,bilibino,68.0546,166.4372,265.81,93,100,1.31,RU,1680300241
332,pinheiro,-2.5214,-45.0825,296.51,98,100,1.25,BR,1680300181
333,riberalta,-10.9833,-66.1,302.26,70,75,2.06,BO,1680300241
334,ust-ishim,57.6935,71.1665,267.6,85,51,3.51,RU,1680300241
335,lavrentiya,65.5833,-171.0,263.65,79,6,1.44,RU,1680300242
336,nakano,36.75,138.3667,283.91,61,0,0.1,JP,1680300242
337,kaitangata,-46.2817,169.8464,284.22,98,100,1.22,NZ,1680300242
338,eyrarbakki,63.863,-21.1481,277.71,99,100,2.94,IS,1680300243
339,petropavlovsk-kamchatskiy,53.0452,158.6483,270.48,64,0,3.0,RU,1680300243
340,nossa senhora da gloria,-10.2183,-37.4203,297.06,75,54,4.98,BR,1680300243
341,geraldton,-28.7667,114.6,290.38,94,0,2.57,AU,1680300243
342,port blair,11.6667,92.75,298.13,84,96,2.45,IN,1680300244
343,pesochnoye,58.006,39.1772,274.48,99,100,2.01,RU,1680300244
344,cariati,39.4922,16.9594,291.03,33,100,3.68,IT,1680300244
345,santona,43.4439,-3.4576,287.43,79,100,6.42,ES,1680300245
346,gawler,-34.6,138.7333,287.18,75,74,3.67,AU,1680300023
347,komsomolskiy,40.4272,71.7189,288.55,58,100,4.12,UZ,1680300245
348,phan thiet,10.9333,108.1,296.45,87,6,1.89,VN,1680300144
349,bilma,18.6853,12.9164,297.8,11,7,5.6,NE,1680300245
350,deputatskiy,69.3,139.9,248.61,94,100,1.61,RU,1680300246
351,san cristobal,7.7669,-72.225,296.25,81,100,0.27,VE,1680300246
352,touros,-5.1989,-35.4608,299.21,76,65,4.71,BR,1680300072
353,hondo,32.45,130.2,287.61,70,76,2.97,JP,1680300246
354,ishigaki,24.3448,124.1572,292.22,94,75,1.03,JP,1680300229
355,gallup,35.5281,-108.7426,282.06,33,20,8.75,US,1680300247
356,sorong,-0.8833,131.25,298.55,84,100,2.09,ID,1680300247
357,cabildo,-38.4842,-61.8954,288.33,51,60,2.98,AR,1680300247
358,langenlois,48.4904,15.6521,285.08,67,100,0.45,AT,1680300248
359,grafton,42.207,-71.6856,279.33,69,100,3.6,US,1680300248
360,beyneu,45.3167,55.2,290.55,46,100,8.19,KZ,1680300249
361,saint-pierre,-21.3393,55.4781,297.97,83,0,3.6,RE,1680300250
362,pietersburg,-23.9045,29.4688,288.15,86,95,2.98,ZA,1680300250
363,ucluelet,48.9329,-125.5528,279.87,90,100,1.79,CA,1680300019
364,necochea,-38.5473,-58.7368,285.32,63,14,5.92,AR,1680300035
365,moerai,-22.4333,-151.3333,298.79,83,100,4.84,PF,1680300251
